transgenic_line,neurotransmitter,reporter_status,dendrite_type,layer,threshold_v,peak_v,trough_v,upstroke,upstroke_v,downstroke,downstroke_v,fast_trough_v,width,upstroke_downstroke_ratio,file_name
Vip+,GABAergic,positive,aspiny,L2/L3,-44.000003814697266,39.625,-63.09375,392.67601988145645,-1.40625,-112.78651785195565,12.125,-54.5625,0.0007399999999999629,3.4815865172545326,587064346_65
Glutamatergic,Glutamatergic,positive,spiny,L6a,-46.781253814697266,45.46875,-75.71875,513.3903309479633,-14.562500953674316,-128.27789856068483,-10.593750953674316,-54.906253814697266,0.0007800000000000029,4.002172912936301,589128331_57
Glutamatergic,Glutamatergic,positive,spiny,L5,-46.375003814697266,48.625003814697266,-72.5625,514.7513024661162,-6.53125,-91.7069583805775,9.500000953674316,-49.0625,0.0008399999999999519,5.613001581951219,572827931_64
Glutamatergic,Glutamatergic,positive,spiny,L5,-45.406253814697266,40.562503814697266,-61.5,392.62802990178875,-9.500000953674316,-99.009507027722,-9.15625,-55.03125,0.0009199999999998099,3.9655588810461966,558474375_41
Pvalb+,GABAergic,positive,aspiny,L2/L3,-45.125003814697266,21.53125,-68.15625,471.0340202120982,-14.65625,-340.0912602311765,-3.687500238418579,-59.687503814697266,0.00029999999999996696,1.3850224198408203,574399717_69
Vip+,GABAergic,positive,aspiny,L4,-45.250003814697266,39.937503814697266,-67.46875762939453,464.07903866752764,-13.0,-160.2164910451275,13.0625,-53.6875,0.0005800000000000249,2.896574726111137,575782162_64
Glutamatergic,Glutamatergic,positive,spiny,L4,-45.500003814697266,37.031253814697266,-67.34375762939453,357.70491456047097,-6.28125,-102.27678344776835,13.5625,-54.437503814697266,0.0008500000000000174,3.497420455573351,490172112_39
Glutamatergic,Glutamatergic,positive,spiny,L5,-48.437503814697266,27.0,-68.03125,290.3968536107736,-8.21875,-100.8892805258475,-6.71875,-53.656253814697266,0.0007500000000000284,2.8783717367909554,490916919_60
Glutamatergic,Glutamatergic,positive,spiny,L4,-45.812503814697266,38.53125,-72.46875,457.0178254918835,-4.500000476837158,-120.35575402875895,13.28125,-51.9375,0.000660000000000105,3.7972245629625596,486198953_56
Htr3a+|Vip-,GABAergic,positive,aspiny,L4,-48.40625,29.562501907348633,-81.09375,459.2844466041381,-4.46875,-330.30707616659805,-7.250000476837158,-68.03125,0.0003450000000000397,1.3904771642630125,397243949_61
Sst+,GABAergic,positive,aspiny,L6b,-45.343753814697266,38.718753814697266,-74.65625762939453,440.6478752876804,-7.250000476837158,-219.0920241057556,16.250001907348633,-58.750003814697266,0.00048000000000003595,2.0112456265180145,583719952_82
Sst+,GABAergic,positive,aspiny,L5,-38.03125,38.125,-73.43750762939453,378.4602986891348,4.781250476837158,-233.55355871493515,4.500000476837158,-61.031253814697266,0.0004649999999999377,1.6204432969101799,475580568_44
Sst+,GABAergic,positive,aspiny,L2/L3,-41.906253814697266,25.0,-63.500003814697266,426.2657328935978,-5.687500476837158,-271.395026846767,-6.406250476837158,-56.71875,0.0003349999999999742,1.5706468089935661,475068599_47
Htr3a+|Vip-,GABAergic,positive,aspiny,L2/L3,-37.437503814697266,10.90625,-76.71875762939453,249.55378842282528,-13.875000953674316,-116.04922905110213,-7.875,-65.93750762939453,0.0006800000000000139,2.1504131519299845,477278032_48
Pvalb+,GABAergic,positive,aspiny,L6a,-40.21875,37.937503814697266,-69.0625,423.04049760422123,4.062500476837158,-177.6723058330904,14.65625,-57.5,0.0005199999999998539,2.381015407103657,554443833_44
Pvalb+,GABAergic,positive,aspiny,L2/L3,-44.09375,31.1875,-77.46875,456.93237388074874,-4.21875,-288.9232619615672,7.406250476837158,-55.4375,0.00034000000000000696,1.5815008136711755,585841870_53
Glutamatergic,Glutamatergic,positive,spiny,L5,-45.343753814697266,40.312503814697266,-68.50000762939453,461.496707769436,-4.15625,-119.91764243290487,12.28125,-52.500003814697266,0.0006850000000000467,3.848447137606529,471129934_62
Pvalb+,GABAergic,positive,aspiny,L4,-47.84375,25.031251907348633,-81.40625,443.58188806748194,-11.78125,-320.0680323435944,-5.187500476837158,-61.5,0.00034000000000000696,1.3858987566471335,567901050_61
Glutamatergic,Glutamatergic,positive,spiny,L5,-48.09375,42.84375,-76.53125,423.4085375354606,2.718750238418579,-86.088218984599,25.750001907348633,-53.000003814697266,0.0008600000000000829,4.918309874794918,487445455_54
Glutamatergic,Glutamatergic,positive,spiny,L5,-47.000003814697266,46.125003814697266,-73.12500762939453,554.1535670310673,2.281250238418579,-119.24974981702549,7.0,-50.781253814697266,0.0006450000000000067,4.6469998291933505,486025194_50
Glutamatergic,Glutamatergic,positive,spiny,L4,-46.25,42.781253814697266,-69.84375762939453,462.4452719478032,-0.25,-97.18034427279645,-15.53125,-50.5625,0.0008000000000001339,4.758629694186572,584635215_61
Glutamatergic,Glutamatergic,positive,spiny,L5,-43.375,34.21875,-81.375,301.72109227146825,1.8437501192092896,-104.5541670169293,14.781250953674316,-51.093753814697266,0.0007399999999999629,2.8857873471710973,508887004_53
Pvalb+,GABAergic,positive,aspiny,L5,-47.156253814697266,20.34375,-78.46875762939453,412.4244089965079,-9.15625,-247.07679419525695,-7.21875,-59.156253814697266,0.0003649999999999487,1.6692154774785608,478947222_58
