dendrite_type,layer,stimulus_to_peak_t,threshold_v,peak_v,trough_v,upstroke,upstroke_v,downstroke,downstroke_v,fast_trough_v,width,upstroke_downstroke_ratio,file_name
spiny,L3,0.00334,-45.593753814697266,49.500003814697266,-71.25000762939453,380.7515271147582,7.156250476837158,-100.21690037968477,-15.281250953674316,-54.843753814697266,0.0009200000000000319,3.7992746300497364,587762000_18
spiny,L5,0.00322,-44.781253814697266,42.937503814697266,-66.09375,437.03777474379297,6.28125,-136.32545928136406,27.468751907348633,-57.125003814697266,0.0006199999999998429,3.2058412056531895,530094213_10
spiny,L4,0.00342,-44.718753814697266,41.343753814697266,-70.84375762939453,304.1043314611737,5.59375,-91.00816344656455,-15.687500953674316,-53.4375,0.0008799999999999919,3.3415060797235903,548461580_16
spiny,L3,0.00346,-49.906253814697266,48.09375,-72.9375,371.0807802457757,11.875000953674316,-114.32258694098029,-12.187500953674316,-52.031253814697266,0.0007999999999999119,3.2459095807318317,541541635_22
spiny,L3,0.00376,-58.343753814697266,29.062501907348633,-77.65625762939453,290.1350884462661,-9.562500953674316,-76.03707192122613,7.125000476837158,-68.21875,0.001060000000000061,3.8157056961220706,569820130_11
aspiny,L3,0.0029,-45.593753814697266,42.53125,-71.28125762939453,464.76318430232124,2.8125,-160.35169065614744,22.5,-54.15625,0.000560000000000116,2.8983990277903784,542179094_12
spiny,L3,0.00366,-44.531253814697266,47.156253814697266,-74.6875,313.40683624678655,9.1875,-95.06247064736071,-5.375,-52.437503814697266,0.0009199999999998099,3.2968513663965866,528758496_27
spiny,L5,0.00322,-47.9375,44.562503814697266,-72.34375,442.1527782995575,-7.4375,-113.47102295073397,27.781251907348633,-50.937503814697266,0.0007200000000000539,3.8966140147650576,539659702_14
spiny,L5,0.00354,-46.03125,51.312503814697266,-65.4375,404.18628568760084,2.53125,-103.75095464180897,32.84375,-60.031253814697266,0.0009399999999999409,3.8957355822220467,587784061_10
spiny,L3,0.0035,-43.0,44.625003814697266,-72.40625762939453,404.8557957903252,7.593750476837158,-98.80730557136604,-14.812500953674316,-49.84375,0.0007999999999999119,4.09742775039957,529988599_90
